Date,Price
12/1/2025,"$4,322.36 "
11/1/2025,"$4,217.36 "
10/1/2025,"$4,002.77 "
9/1/2025,"$3,836.23 "
8/1/2025,"$3,415.77 "
7/1/2025,"$3,285.78 "
6/1/2025,"$3,266.41 "
5/1/2025,"$3,289.55 "
4/1/2025,"$3,273.50 "
3/1/2025,"$3,086.34 "
2/1/2025,"$2,876.21 "
1/1/2025,"$2,798.20 "
12/1/2024,"$2,624.60 "
11/1/2024,"$2,651.25 "
10/1/2024,"$2,746.70 "
9/1/2024,"$2,664.41 "
8/1/2024,"$2,503.38 "
7/1/2024,"$2,409.69 "
6/1/2024,"$2,326.72 "
5/1/2024,"$2,327.28 "
4/1/2024,"$2,285.99 "
3/1/2024,"$2,231.56 "
2/1/2024,"$2,044.20 "
1/1/2024,"$2,039.15 "
12/1/2023,"$2,062.92 "
11/1/2023,"$2,044.90 "
10/1/2023,"$1,984.01 "
9/1/2023,"$1,848.49 "
8/1/2023,"$1,939.83 "
7/1/2023,"$1,964.34 "
6/1/2023,"$1,919.57 "
5/1/2023,"$1,965.20 "
4/1/2023,"$1,990.60 "
3/1/2023,"$1,969.55 "
2/1/2023,"$1,826.74 "
1/1/2023,"$1,928.12 "
12/1/2022,"$1,824.32 "
11/1/2022,"$1,768.61 "
10/1/2022,"$1,632.38 "
9/1/2022,"$1,660.88 "
8/1/2022,"$1,708.58 "
7/1/2022,"$1,766.43 "
6/1/2022,"$1,817.45 "
5/1/2022,"$1,847.26 "
4/1/2022,"$1,911.70 "
3/1/2022,"$1,953.04 "
2/1/2022,"$1,900.70 "
1/1/2022,"$1,796.12 "
12/1/2021,"$1,828.60 "
11/1/2021,"$1,775.92 "
10/1/2021,"$1,783.90 "
9/1/2021,"$1,756.66 "
8/1/2021,"$1,815.80 "
7/1/2021,"$1,814.12 "
6/1/2021,"$1,771.60 "
5/1/2021,"$1,904.74 "
4/1/2021,"$1,767.70 "
3/1/2021,"$1,715.24 "
2/1/2021,"$1,728.80 "
1/1/2021,"$1,849.70 "
12/1/2020,"$1,895.10 "
11/1/2020,"$1,779.86 "
10/1/2020,"$1,879.90 "
9/1/2020,"$1,893.90 "
8/1/2020,"$1,970.50 "
7/1/2020,"$1,971.68 "
6/1/2020,"$1,770.70 "
5/1/2020,"$1,725.65 "
4/1/2020,"$1,716.75 "
3/1/2020,"$1,604.65 "
2/1/2020,"$1,626.35 "
1/1/2020,"$1,580.85 "
12/1/2019,"$1,523.00 "
11/1/2019,"$1,456.35 "
10/1/2019,"$1,506.40 "
9/1/2019,"$1,487.60 "
8/1/2019,"$1,526.55 "
7/1/2019,"$1,430.55 "
6/1/2019,"$1,413.20 "
5/1/2019,"$1,296.00 "
4/1/2019,"$1,285.15 "
3/1/2019,"$1,291.15 "
2/1/2019,"$1,325.45 "
1/1/2019,"$1,322.50 "
12/1/2018,"$1,281.65 "
11/1/2018,"$1,220.45 "
10/1/2018,"$1,217.70 "
9/1/2018,"$1,183.50 "
8/1/2018,"$1,206.85 "
7/1/2018,"$1,219.20 "
6/1/2018,"$1,250.55 "
5/1/2018,"$1,303.50 "
4/1/2018,"$1,316.25 "
3/1/2018,"$1,323.90 "
2/1/2018,"$1,320.30 "
1/1/2018,"$1,343.35 "
12/1/2017,"$1,296.50 "
11/1/2017,"$1,282.15 "
10/1/2017,"$1,270.50 "
9/1/2017,"$1,284.80 "
8/1/2017,"$1,322.20 "
7/1/2017,"$1,273.40 "
6/1/2017,"$1,242.30 "
5/1/2017,"$1,275.40 "
4/1/2017,"$1,268.30 "
3/1/2017,"$1,251.20 "
2/1/2017,"$1,253.90 "
1/1/2017,"$1,211.40 "
12/1/2016,"$1,151.70 "
11/1/2016,"$1,173.90 "
10/1/2016,"$1,273.10 "
9/1/2016,"$1,317.10 "
8/1/2016,"$1,311.40 "
7/1/2016,"$1,357.50 "
6/1/2016,"$1,320.60 "
5/1/2016,"$1,217.50 "
4/1/2016,"$1,290.50 "
3/1/2016,"$1,235.60 "
2/1/2016,"$1,234.40 "
1/1/2016,"$1,116.40 "
12/1/2015,"$1,060.20 "
11/1/2015,"$1,065.30 "
10/1/2015,"$1,141.40 "
9/1/2015,"$1,115.20 "
8/1/2015,"$1,132.50 "
7/1/2015,"$1,095.10 "
6/1/2015,"$1,171.80 "
5/1/2015,"$1,189.80 "
4/1/2015,"$1,204.30 "
3/1/2015,"$1,179.25 "
2/1/2015,"$1,205.00 "
1/1/2015,"$1,263.50 "
12/1/2014,"$1,199.25 "
11/1/2014,"$1,184.50 "
10/1/2014,"$1,173.25 "
9/1/2014,"$1,210.00 "
8/1/2014,"$1,285.75 "
7/1/2014,"$1,295.00 "
6/1/2014,"$1,313.00 "
5/1/2014,"$1,254.00 "
4/1/2014,"$1,292.00 "
3/1/2014,"$1,294.00 "
2/1/2014,"$1,327.75 "
1/1/2014,"$1,246.50 "
12/1/2013,"$1,201.50 "
11/1/2013,"$1,245.25 "
10/1/2013,"$1,333.75 "
9/1/2013,"$1,335.75 "
8/1/2013,"$1,392.75 "
7/1/2013,"$1,331.50 "
6/1/2013,"$1,203.25 "
5/1/2013,"$1,410.25 "
4/1/2013,"$1,472.75 "
3/1/2013,"$1,602.50 "
2/1/2013,"$1,591.00 "
1/1/2013,"$1,674.50 "
12/1/2012,"$1,664.00 "
11/1/2012,"$1,728.25 "
10/1/2012,"$1,718.00 "
9/1/2012,"$1,781.00 "
8/1/2012,"$1,657.75 "
7/1/2012,"$1,622.75 "
6/1/2012,"$1,569.50 "
5/1/2012,"$1,567.50 "
4/1/2012,"$1,662.50 "
3/1/2012,"$1,660.75 "
2/1/2012,"$1,788.00 "
1/1/2012,"$1,738.00 "
12/1/2011,"$1,574.50 "
11/1/2011,"$1,704.00 "
10/1/2011,"$1,718.00 "
9/1/2011,"$1,629.00 "
8/1/2011,"$1,826.00 "
7/1/2011,"$1,613.75 "
6/1/2011,"$1,508.00 "
5/1/2011,"$1,537.00 "
4/1/2011,"$1,531.00 "
3/1/2011,"$1,431.00 "
2/1/2011,"$1,409.75 "
1/1/2011,"$1,333.50 "
12/1/2010,"$1,410.25 "
11/1/2010,"$1,375.00 "
10/1/2010,"$1,336.75 "
9/1/2010,"$1,311.00 "
8/1/2010,"$1,233.50 "
7/1/2010,"$1,168.00 "
6/1/2010,"$1,240.50 "
5/1/2010,"$1,214.00 "
4/1/2010,"$1,175.25 "
3/1/2010,"$1,109.50 "
2/1/2010,"$1,112.50 "
1/1/2010,"$1,082.75 "
